按教師法第14條第1項第5款、第3項規定，教師經性平會調查確認有性騷擾行為，有解聘及終身不得聘任為教師之必要者，依法即發生終身不得聘任為教師的法律效果；或已聘任者，免經教師評審委員會審議，學校有義務予以解聘的構成要件事實，應認經學校檢送性平會 決議通過之調查報告及處理建議通知函，屬於具確認公法上法律關係規制效力的確認性行政處分。申請人或行為人對於調查報告認定之事實或學校之處理結果不服者，得提起申復，如不服申復結果，得依性平法第34條規定提起行政救濟。按教師法第14條第1項第5款、第3項規定，教師經性平會調查確認有性騷擾行為，有解聘及終身不得聘任為教師之必要者，依法即發生終身不得聘任為教師的法律效果；或已聘任者，免經教師評審委員會審議，學校有義務予以解聘的構成要件事實，應認經學校檢送性平會 決議通過之調查報告及處理建議通知函，屬於具確認公法上法律關係規制效力的確認性行政處分。申請人或行為人對於調查報告認定之事實或學校之處理結果不服者，得提起申復，如不服申復結果，得依性平法第34條規定提起行政救濟。
---
27,33
139,141
91,95
218,223
143,151
33,39
222,224
135,136
81,87
187,189
65,65
132,134
164,173
171,177
138,138
